Candidato;Palavra;Quantidade;Percentual;Acumulado
Lula;ODIOPORQUE;1;0;0
Lula;CULPA;45;0;0
Lula;GRAFINOS;1;0;0
Lula;ATEAREM;1;0;0
Lula;FOGO;10;0;0
Lula;MORADOR;9;0;0
Lula;SENADOR;53;0;0
Lula;LEVAR;62;0;0
Lula;FORCA;76;0;0
Lula;LUTA;223;0;0
Lula;MELHORAR;79;0;0
Lula;JUNTO;76;0;0
Lula;TUCANO;16;0;0
Lula;VIR;35;0;0
Lula;CORRUPTOS;5;0;0
Lula;CORAGEM;96;0;0
Lula;SERRA;15;0;0
Lula;DIZENDO;66;0;0
Lula;ENCONTRO;124;0;0
Lula;NORA;1;0;0
Lula;CORTIÑAS;1;0;0
Lula;FUNDADORA;2;0;0
